datacreationdate,sitename,county,aqi,baseline,z_score,spike_strength
2026-03-11 17:00:00,屏東（枋山）,屏東縣,90,52.25,,37.75
2026-03-11 16:00:00,屏東（枋山）,屏東縣,84,51.708333333333336,,32.291666666666664
2026-03-11 15:00:00,新港,嘉義縣,91,53.541666666666664,,37.458333333333336
2026-03-11 13:00:00,嘉義（建國路）,嘉義縣,80,20.25,,59.75
2026-03-11 12:00:00,嘉義（建國路）,嘉義縣,82,19.0,,63.0
2026-03-11 11:00:00,嘉義（建國路）,嘉義縣,84,17.5,,66.5
2026-03-11 01:00:00,竹山,南投縣,69,45.291666666666664,,23.708333333333336
2026-03-11 00:00:00,竹山,南投縣,69,44.083333333333336,,24.916666666666664
2026-03-11 00:00:00,斗六,雲林縣,78,51.958333333333336,,26.041666666666664
2026-03-10 23:00:00,竹山,南投縣,68,43.041666666666664,,24.958333333333336
2026-03-10 23:00:00,斗六,雲林縣,79,50.416666666666664,,28.583333333333336
2026-03-10 22:00:00,斗六,雲林縣,78,49.166666666666664,,28.833333333333336
2026-03-10 22:00:00,竹山,南投縣,67,42.291666666666664,,24.708333333333336
2026-03-08 21:00:00,沙鹿,臺中市,97,63.0,,34.0
2026-03-08 20:00:00,沙鹿,臺中市,104,61.541666666666664,,42.458333333333336
2026-03-08 20:00:00,員林,彰化縣,116,73.41666666666667,,42.58333333333333
2026-03-08 19:00:00,沙鹿,臺中市,106,60.208333333333336,,45.791666666666664
2026-03-08 19:00:00,彰化,彰化縣,115,60.833333333333336,,54.166666666666664
2026-03-08 19:00:00,員林,彰化縣,121,71.70833333333333,,49.29166666666667
2026-03-08 18:00:00,彰化,彰化縣,111,59.291666666666664,,51.708333333333336
2026-03-08 18:00:00,員林,彰化縣,115,70.33333333333333,,44.66666666666667
2026-03-08 17:00:00,員林,彰化縣,106,69.45833333333333,,36.54166666666667
2026-03-07 22:00:00,南投（鹿谷）,南投縣,94,60.458333333333336,,33.541666666666664
2026-03-07 21:00:00,南投（鹿谷）,南投縣,98,58.541666666666664,,39.458333333333336
2026-03-07 20:00:00,潮州,屏東縣,122,80.79166666666667,,41.20833333333333
2026-03-07 20:00:00,南投（鹿谷）,南投縣,101,56.541666666666664,,44.458333333333336
2026-03-07 19:00:00,屏東（枋山）,屏東縣,129,76.375,,52.625
2026-03-07 19:00:00,南投（鹿谷）,南投縣,99,54.708333333333336,,44.291666666666664
2026-03-07 18:00:00,屏東（枋山）,屏東縣,136,74.75,,61.25
2026-03-07 18:00:00,南投（鹿谷）,南投縣,93,53.166666666666664,,39.833333333333336
2026-03-07 17:00:00,竹山,南投縣,87,43.791666666666664,,43.208333333333336
2026-03-07 17:00:00,屏東（枋山）,屏東縣,136,72.70833333333333,,63.29166666666667
2026-03-07 16:00:00,沙鹿,臺中市,82,53.833333333333336,,28.166666666666664
2026-03-07 16:00:00,竹山,南投縣,83,42.208333333333336,,40.791666666666664
2026-03-07 16:00:00,屏東（枋山）,屏東縣,118,70.95833333333333,,47.04166666666667
2026-03-07 15:00:00,沙鹿,臺中市,81,52.291666666666664,,28.708333333333336
